training_id,clan_battle_id,battle_start_time,battle_end_time,interval_start_time,interval_end_time
1038,1038,"2021/04/22 12:00:00","2021/04/29 23:59:59","2021/04/30 00:00:00","2021/05/23 11:59:59"
1039,1039,"2021/05/23 12:00:00","2021/05/30 23:59:59","2021/05/31 00:00:00","2021/06/22 11:59:59"
1040,1040,"2021/06/22 12:00:00","2021/06/29 23:59:59","2021/06/30 00:00:00","2021/07/17 11:59:59"
1041,1041,"2021/07/17 12:00:00","2021/07/30 23:59:59","2021/07/31 00:00:00","2021/08/23 11:59:59"
1042,1042,"2021/08/23 12:00:00","2021/08/30 23:59:59","2021/08/31 00:00:00","2021/09/22 11:59:59"
1043,1043,"2021/09/22 12:00:00","2021/09/29 23:59:59","2021/09/30 00:00:00","2021/10/23 11:59:59"
